epoch,step,min,max,mean,std
1,10000,-0.6166117787361145,0.9852799773216248,-0.004395129159092903,0.2117634415626526
2,20000,-1.2770262956619263,1.3485591411590576,0.008499085903167725,0.2753966450691223
3,30000,-1.189190149307251,0.9660459756851196,-0.01859956979751587,0.2266511470079422
4,40000,-0.5409904718399048,0.779712975025177,0.006684549152851105,0.12754933536052704
5,50000,-0.5829572677612305,0.5113587975502014,0.0003911629319190979,0.11211376637220383
6,60000,-0.3803051710128784,0.599143385887146,-0.0003239437937736511,0.10880328714847565
7,70000,-0.8172256350517273,0.9860869646072388,0.001707024872303009,0.1751389056444168
8,80000,-1.2156575918197632,0.9656688570976257,-0.013458482921123505,0.23914895951747894
9,90000,-0.8459140658378601,0.46852579712867737,-0.008423668332397938,0.1517082154750824
10,100000,-0.2838664948940277,0.20060662925243378,0.004628514871001244,0.0546962134540081
11,110000,-0.7574487328529358,0.658281147480011,0.0042342618107795715,0.15078389644622803
12,120000,-0.47663557529449463,0.6375250816345215,0.0011868122965097427,0.11869839578866959
13,130000,-0.678335428237915,0.9198071360588074,0.009668199345469475,0.140164315700531
14,140000,-0.8070991635322571,0.4505121111869812,0.0005449596792459488,0.10535416007041931
15,150000,-0.37500080466270447,0.41510629653930664,-0.0029187961481511593,0.0816396027803421
16,160000,-0.7855148911476135,0.5931059122085571,-0.0224139541387558,0.12286990135908127
17,170000,-1.0769771337509155,0.5562429428100586,-0.0044357143342494965,0.18146255612373352
18,180000,-0.3160656988620758,0.40947625041007996,-0.0016683171270415187,0.06664952635765076
19,190000,-0.6419875025749207,0.43630462884902954,0.0006821872084401548,0.1016383245587349
20,200000,-0.2066088169813156,0.25514161586761475,0.0020910827443003654,0.046350929886102676
21,210000,-1.3198225498199463,0.8415476679801941,-0.007821723818778992,0.22055426239967346
22,220000,-0.47364377975463867,0.5750650763511658,-0.0022011976689100266,0.11314824968576431
23,230000,-1.223481297492981,0.7338780164718628,0.006047599017620087,0.19086094200611115
24,240000,-1.0042997598648071,0.6837781667709351,0.009996838867664337,0.17094126343727112
25,250000,-0.36806580424308777,0.3424355685710907,-0.01252664253115654,0.06999832391738892
26,260000,-0.4913206696510315,0.43512246012687683,-0.005680012982338667,0.07230756431818008
27,270000,-0.5726174712181091,0.4824945032596588,0.003868388943374157,0.0951099842786789
28,280000,-0.7894989848136902,0.5372909903526306,0.005329173058271408,0.13212235271930695
29,290000,-0.7056596279144287,0.5398533940315247,-0.007852179929614067,0.12843500077724457
30,300000,-0.3208358585834503,0.2596418261528015,-0.004180680960416794,0.0488557368516922
31,310000,-0.16997256875038147,0.23884642124176025,0.007823352701961994,0.048894286155700684
32,320000,-0.41570693254470825,0.46768811345100403,0.005681028123944998,0.06982336193323135
33,330000,-0.7064031958580017,0.3487422466278076,-0.0034145191311836243,0.10283156484365463
34,340000,-0.17040321230888367,0.30526939034461975,0.015763457864522934,0.05181414633989334
35,350000,-1.0412957668304443,0.9349543452262878,0.0008767843246459961,0.16998781263828278
36,360000,-0.5246911644935608,0.5298370718955994,-0.00804116576910019,0.09680934995412827
37,370000,-0.538275420665741,0.44648879766464233,0.0031544147059321404,0.09778909385204315
38,380000,-0.6903418898582458,0.7478184103965759,0.0015384098514914513,0.1375391036272049
39,390000,-0.6246085166931152,0.4649108648300171,-0.0012456439435482025,0.10597999393939972
40,400000,-0.2439883053302765,0.2701623737812042,-0.0038148537278175354,0.06477074325084686
41,410000,-0.48816320300102234,0.5088373422622681,0.001961931586265564,0.09134989976882935
42,420000,-0.31246745586395264,0.378379225730896,0.002479307120665908,0.07173823565244675
43,430000,-0.6032107472419739,0.7208234071731567,0.009381623938679695,0.13892105221748352
44,440000,-0.3804473578929901,0.27608931064605713,0.0017652343958616257,0.0984935611486435
45,450000,-0.7969886064529419,0.6727100610733032,-0.007145632058382034,0.14284375309944153
46,460000,-0.5065959095954895,0.43152499198913574,-0.010946417227387428,0.12010626494884491
47,470000,-0.4861433207988739,0.3042062520980835,-0.012378544546663761,0.09271392226219177
48,480000,-1.4788143634796143,1.1973974704742432,0.00019021332263946533,0.2612321376800537
49,490000,-0.6764814853668213,0.3845004737377167,-0.01146730873733759,0.11809177696704865
50,500000,-0.33688169717788696,0.3602835237979889,0.011320952326059341,0.07076437771320343
51,510000,-0.2909128665924072,0.3200366199016571,0.006257867440581322,0.08622963726520538
52,520000,-1.4943568706512451,0.8185421228408813,-0.010468294844031334,0.1976582258939743
53,530000,-0.4673457443714142,0.5757433176040649,-0.002687453292310238,0.1200895681977272
54,540000,-0.6612473130226135,0.44255465269088745,0.004085436463356018,0.14329907298088074
55,550000,-0.4029134213924408,0.4235239028930664,0.0014631617814302444,0.092868372797966
56,560000,-0.7457059621810913,0.6166669130325317,-0.006485497113317251,0.13253481686115265
57,570000,-0.3936758041381836,0.367492139339447,0.0004613688215613365,0.07810957729816437
58,580000,-0.588761031627655,0.5001388192176819,0.009100368246436119,0.07708103209733963
59,590000,-0.41953134536743164,0.4908995032310486,-0.015599442645907402,0.08320274949073792
60,600000,-0.24144035577774048,0.32700759172439575,0.00846482627093792,0.06877249479293823
61,610000,-0.985638439655304,0.9433225393295288,-0.0037815161049365997,0.22276122868061066
62,620000,-1.3841475248336792,0.7672314047813416,-0.004313111305236816,0.25694844126701355
63,630000,-0.3012743294239044,0.3967605233192444,0.011465845629572868,0.07684483379125595
64,640000,-0.6712694764137268,0.5467698574066162,2.7235597372055054e-05,0.15341798961162567
65,650000,-0.8488094210624695,0.864809513092041,-0.0051924437284469604,0.1596582531929016
66,660000,-0.45628562569618225,0.4906432032585144,0.008804898709058762,0.11413956433534622
67,670000,-0.9835895299911499,1.1464325189590454,-0.014198854565620422,0.23907428979873657
68,680000,-1.5941798686981201,1.301773190498352,0.000891558825969696,0.2652443051338196
69,690000,-0.5082217454910278,0.7016774415969849,0.02036564238369465,0.15452565252780914
70,700000,-0.7089617848396301,0.5120905041694641,-0.02342614345252514,0.10968504101037979
71,710000,-0.30435746908187866,0.2724200189113617,0.01653316244482994,0.0768173560500145
72,720000,-0.7787490487098694,0.46612924337387085,0.004948131740093231,0.10487500578165054
73,730000,-1.409547209739685,0.925035297870636,-9.20519232749939e-05,0.26863619685173035
74,740000,-0.67560213804245,0.34794026613235474,-0.01073991134762764,0.10934847593307495
75,750000,-1.0381953716278076,0.5814200043678284,0.010693620890378952,0.18394044041633606
76,760000,-0.6994900703430176,0.6741334199905396,-0.015430588275194168,0.1684960424900055
77,770000,-0.6691465377807617,0.4349402189254761,-0.006904479116201401,0.14005619287490845
78,780000,-0.4067206382751465,0.6689055562019348,0.014345085248351097,0.1318068951368332
79,790000,-0.7642563581466675,0.6726794242858887,0.00786236859858036,0.14485104382038116
80,800000,-0.7797614932060242,0.9056902527809143,-0.016680462285876274,0.14810824394226074
81,810000,-0.8512548804283142,0.785942792892456,0.006341505795717239,0.1874365657567978
82,820000,-0.4971228241920471,0.5981537699699402,-0.014180962927639484,0.1086033284664154
83,830000,-0.4475058913230896,0.3993983864784241,-0.002361441031098366,0.11036607623100281
84,840000,-0.7604683637619019,0.5003717541694641,0.007468719035387039,0.1283968836069107
85,850000,-0.8754457831382751,0.6598591804504395,-0.009306233376264572,0.19103984534740448
86,860000,-0.4496409595012665,0.43274426460266113,0.005370293743908405,0.06659581512212753
87,870000,-0.6450966596603394,0.9094868302345276,-0.0005066990852355957,0.1393066644668579
88,880000,-0.9489589929580688,0.812962532043457,-0.009126316756010056,0.17073991894721985
89,890000,-0.9374483823776245,0.7901400327682495,-0.004956990480422974,0.1500350832939148
90,900000,-0.6747146844863892,0.7714413404464722,0.0031654625199735165,0.1452166885137558
91,910000,-0.38186848163604736,0.3748331069946289,0.0016273660585284233,0.07989721745252609
92,920000,-1.063327670097351,1.033015251159668,0.016934596002101898,0.24786558747291565
93,930000,-0.8567528128623962,0.6558906435966492,0.0025744326412677765,0.16191908717155457
94,940000,-0.9255765676498413,0.8053982257843018,-0.015286333858966827,0.2149292528629303
95,950000,-0.6766649484634399,0.4987747371196747,-0.0050632283091545105,0.14051710069179535
96,960000,-1.0841987133026123,0.9905394911766052,0.012219857424497604,0.21685287356376648
97,970000,-0.7563408613204956,0.7306276559829712,0.007591012865304947,0.18571774661540985
98,980000,-0.7732576727867126,0.6873341202735901,0.006925538182258606,0.16398882865905762
99,990000,-0.44699496030807495,0.6874080896377563,0.00620547728613019,0.10653385519981384
100,1000000,-0.7888072729110718,1.2659268379211426,0.01089419424533844,0.20591853559017181
